id,question,answer,A,B,C,D,E,F,question_zh,A_zh,B_zh,C_zh,D_zh,E_zh,F_zh,question_zh_zh
352,"A company wants to monitor the security groups of its Amazon EC2 instances to ensure that SSH is not open to the public. If the port is opened, the company needs to close the port as soon as possible.  Which combination of actions should a SysOps administrator take to meet these requirements? (Choose two.)",BD,Add an Amazon CloudWatch alarm to detect the security groups that allow SSH.,Add an AWS Config rule to detect the security groups that allow SSH.,Add an assessment template to Amazon Inspector to detect the security groups that allow SSH.,Call an AWS Systems Manager Automation runbook to close the port.,Call AWS Systems Manager Run Command to close the port.,,"一家公司想要监控其 Amazon EC2 实例的安全组，以确保 SSH 不对公众开放。  
如果端口被打开，公司需要尽快关闭该端口。  
SysOps 管理员应采取哪些行动组合以满足这些要求？（选择两个。）",添加一个 Amazon CloudWatch 警报，以检测允许 SSH 的安全组。,添加一个 AWS Config 规则以检测允许 SSH 的安全组。,向 Amazon Inspector 添加一个评估模板，以检测允许 SSH 的安全组。,调用一个 AWS Systems Manager Automation 运行簿以关闭端口。,调用 AWS Systems Manager Run Command 以关闭端口。,nan,"一家公司想要监控其 Amazon EC2 实例的安全组，以确保 SSH 不对公众开放。  
如果端口被打开，公司需要尽快关闭该端口。  
SysOps 管理员应采取哪些行动组合以满足这些要求？（选择两个。）"
353,A company runs an application on Amazon EC2 instances that are in an Amazon EC2 Auto Scaling group. Scale-out actions take a long time to become complete because of long-running boot scripts. A SysOps administrator must implement a solution to reduce the required time for scale-out actions without overprovisioning the Auto Scaling group.  Which solution will meet these requirements?,D,Change the launch configuration to use a larger instance size.,Increase the minimum number of instances in the Auto Scaling group.,Add a predictive scaling policy to the Auto Scaling group.,Add a warm pool to the Auto Scaling group.,,,"一家公司在 Amazon EC2 实例上运行一个应用程序，这些实例位于 Amazon EC2 Auto Scaling 组中。  
Scale-out 操作需要很长时间才能完成，因为启动脚本运行时间长。  
一名 SysOps 管理员必须实施一个解决方案，以减少 Scale-out 操作所需的时间，而不对 Auto Scaling 组进行过度配置。  
哪种解决方案可以满足这些要求？",将更改启动配置以使用更大的实例大小。,增加 Auto Scaling 组中的最小实例数量。,为 Auto Scaling 组添加一个预测性扩展策略。,向自动扩展组添加一个温暖池。,nan,nan,"一家公司在 Amazon EC2 实例上运行一个应用程序，这些实例位于 Amazon EC2 Auto Scaling 组中。  
Scale-out 操作需要很长时间才能完成，因为启动脚本运行时间长。  
一名 SysOps 管理员必须实施一个解决方案，以减少 Scale-out 操作所需的时间，而不对 Auto Scaling 组进行过度配置。  
哪种解决方案可以满足这些要求？"
354,"A company asks a SysOps administrator to provision an additional environment for an application in four additional AWS Regions. The application is running on more than 100 Amazon C2 instances in the us-east-1 Region, using fully configured Amazon Machine Images (AMIs). The company has an AWS CloudFormation template to deploy resources in us-east-1.  What should the SysOps administrator do to provision the application in the MOST operationally efficient manner?",A,Copy the AMI to each Region by using the aws ec2 copy-image command. Update the CloudFormation template to include mappings for the copied AMIs.,Create a snapshot of the running instance. Copy the snapshot to the other Regions. Create an AMI from the snapshots. Update the CloudFormation template for each Region to use the new AMI.,Run the existing CloudFormation template in each additional Region based on the success of the template that is used currently in us-east-1.,Update the CloudF ormation template to include the additional Regions in the Auto Scaling group. Update the existing stack in us-east-1.,,,"一家公司要求一名 SysOps 管理员在另外四个 AWS Regions 中为一个应用程序配置一个额外的环境。  
该应用程序在 us-east-1 Region 中运行超过 100 个 Amazon EC2 实例，使用完全配置的 Amazon Machine Images (AMIs)。  
该公司拥有一个 AWS CloudFormation 模板，用于在 us-east-1 中部署资源。  
SysOps 管理员应该做什么，以最具操作效率的方式配置应用程序？",通过使用 aws ec2 copy-image 命令，将 AMI 复制到每个 Region。 更新 CloudFormation 模板以包括复制的 AMI 的映射。,创建一个快照的运行实例。将快照复制到其他 Regions。创建一个 AMI 从快照。更新 CloudFormation 模板为每个 Region 使用新的 AMI。,在每个额外的 Region 运行现有的 CloudFormation 模板，基于当前在 us-east-1 中使用的模板的成功。,更新 CloudFormation 模板 以 包含 额外 的 Regions 在 Auto Scaling 组中。 更新 现有 的 堆栈 在 us-east-1。,nan,nan,"一家公司要求一名 SysOps 管理员在另外四个 AWS Regions 中为一个应用程序配置一个额外的环境。  
该应用程序在 us-east-1 Region 中运行超过 100 个 Amazon EC2 实例，使用完全配置的 Amazon Machine Images (AMIs)。  
该公司拥有一个 AWS CloudFormation 模板，用于在 us-east-1 中部署资源。  
SysOps 管理员应该做什么，以最具操作效率的方式配置应用程序？"
355,A company runs its applications on a large number of Amazon EC2 instances. A SysOps administrator must implement a solution to notify the operations team whenever an EC2 instance state changes.  What is the MOST operationally efficient solution that meets these requirements?,B,Create a script that captures instance state changes and publishes a notification to an Amazon Simple Notification Service (Amazon SNS) topic. Use AWS Systems Manager Run Command to run the script on all EC2 instances.,Create an Amazon EventBridge event rule that captures EC2 instance state changes. Set an Amazon Simple Notification Service (Amazon SNS) topic as the target,Create an Amazon EventBridge event rule that captures EC2 instance state changes. Set as the target an AWS Lambda function that publishes a notification to an Amazon Simple Notification Service (Amazon SNS) topic.,Create an AWS Config custom rule that evaluates instance state changes with automatic remediation. Use the rule to invoke an AWS Lambda function that publishes a notification to an Amazon Simple Notification Service (Amazon SNS) topic.,,,一家公司在大量的 Amazon EC2 实例上运行其应用程序。 一名 SysOps 管理员必须实现一个解决方案，以在 EC2 实例状态更改时通知运营团队。 什么是满足这些要求的最具操作效率的解决方案？,创建一个脚本，捕获实例状态变化，并发布通知到 Amazon Simple Notification Service (Amazon SNS) 主题。使用 AWS Systems Manager Run Command 在所有 EC2 实例上运行该脚本。,创建一个 Amazon EventBridge 事件规则，该规则捕获 EC2 实例状态变化。设置一个 Amazon Simple Notification Service (Amazon SNS) 主题作为目标,创建一个 Amazon EventBridge 事件规则，该规则捕获 EC2 实例状态变化。设置作为目标的 AWS Lambda 函数，该函数向 Amazon Simple Notification Service (Amazon SNS) 主题发布通知。,创建一个 AWS Config 自定义规则，该规则评估实例状态变化与自动修复。使用该规则调用一个 AWS Lambda 函数，该函数向一个 Amazon Simple Notification Service (Amazon SNS) 主题发布通知。,nan,nan,"一家公司在大量的 Amazon EC2 实例上运行其应用程序。  
一名 SysOps 管理员必须实现一个解决方案，以在 EC2 实例状态更改时通知运营团队。  
什么是满足这些要求的最具操作效率的解决方案？"
356,A company has migrated its legacy on-premises web application to an Amazon EC2 instance. The web application requires a single static public IP address to accept traffic and process requests. End users must be able to reach the web application through the example.com domain. A SysOps administrator must implement a solution that maintains the web application with the least amount of effort.  Which combination of actions will meet these requirements? (Choose two.),BD,Configure an Application Load Balancer (ALB). Add the EC2 instance to a target group that is associated with the ALB.,Create an Amazon Route 53 A record for the associated EC2 IP address.,Create an Amazon Route 53 CNAME record for the associated EC2 IP address.,"Create an Elastic IP address, and associate it with the EC2 instance.",Create an Auto Scaling group with a minimum capacity of 1 and a maximum capacity of 2.,,"一家公司已经将其遗留的本地 web 应用程序迁移到 Amazon EC2 实例。  
The web application 需要一个单一的静态公共 IP 地址以接受流量并处理请求。  
End users 必须能够通过 example.com 域名访问 web 应用程序。  
A SysOps administrator 必须实施一个解决方案，以最少的努力维护 web 应用程序。  
Which combination of actions 将满足这些要求？（选择两个。）",配置一个 Application Load Balancer (ALB)。添加 EC2 实例到一个目标组，该目标组与 ALB 相关联。,为相关联的 EC2 IP 地址创建一个 Amazon Route 53 A 记录。,为关联的 EC2 IP 地址创建一个 Amazon Route 53 CNAME 记录。,创建 一个 Elastic IP 地址 ， 并 将 它 与 EC2 实例 关联 。,创建一个 Auto Scaling 组，具有最小容量为 1 和最大容量为 2。,nan,"一家公司已经将其遗留的本地 web 应用程序迁移到 Amazon EC2 实例。  
The web application 需要一个单一的静态公共 IP 地址以接受流量并处理请求。  
End users 必须能够通过 example.com 域名访问 web 应用程序。  
A SysOps administrator 必须实施一个解决方案，以最少的努力维护 web 应用程序。  
Which combination of actions 将满足这些要求？（选择两个。）"
357,A company is using an Amazon DynamoDB table for data. A SysOps administrator must configure replication of the table to another AWS Region for disaster recovery.  What should the SysOps administrator do to meet this requirement?,C,Enable DynamoDB Accelerator (DAX).,"Enable DynamoDB Streams, and add a global secondary index (GSI).","Enable DynamoDB Streams, and add a global table Region.",Enable point-in-time recovery.,,,一家公司正在使用一个 Amazon DynamoDB 表格作为数据。 一名 SysOps 管理员必须配置该表格的复制到另一个 AWS 区域以进行灾难恢复。 什么是 SysOps 管理员应采取的措施以满足此要求？,启用 DynamoDB Accelerator (DAX)。,启用 DynamoDB Streams，和添加一个 global secondary index (GSI)。,启用 DynamoDB Streams，和添加一个 global table Region。,启用 point-in-time recovery。,nan,nan,"一家公司正在使用一个 Amazon DynamoDB 表格作为数据。  
一名 SysOps 管理员必须配置该表格的复制到另一个 AWS 区域以进行灾难恢复。  
什么是 SysOps 管理员应采取的措施以满足此要求？"
358,A company has an existing public web application for www.example.com. The Application Load Balancer (ALB) is configured with a single HTTP 80 listener. A SysOps administrator must ensure that all web requests to www.example.com are encrypted between the client and the ALB.  The SysOps administrator already has requested and validated a public certificate for www.example.com in AWS Certificate Manager (ACM). Existing users of the application must not be required to change the endpoint to which they are connecting.  Which additional set of steps should the SysOps administrator take to meet these requirements?,D,Create an additional ALB listener for HTTPS on port 443. Set the default action to forward all traffic to the target group. Specify the ACM certificate that was created for www.example.com as the default SSL certificate.,Create an additional ALB listener for HTTPS on port 443. Set the default action to forward all traffic to the target group. Specify the ACM certificate that was created for www.example.com as the default SSL certificate. Delete the original HTTP listener on port 80.,Modify the ALB default rule for the HTTP port 80 listener. Create a rule in the listener to forward all traffic for the host www example.com to the target group. Specify the ACM certificate that was created for www.example.com as the default SSL certificate.,Modify the ALB default rule for the HTTP port 80 listener to redirect to HTTPS on port 443. Create an additional HTTPS listener on port 443. Set the default action to forward all traffic to the target group. Specify the ACM certificate that was created for www example.com as the default SSL certificate.,,,"一家公司拥有一个现有的公共网页应用程序用于 www.example.com。  
The Application Load Balancer (ALB) 被配置有一个单一的 HTTP 80 监听器。  
一名 SysOps 管理员必须确保所有对 www.example.com 的网页请求在客户端和 ALB 之间都是加密的。  
SysOps 管理员已经请求并验证了一个用于 www.example.com 的公共证书在 AWS Certificate Manager (ACM) 中。  
应用程序的现有用户不必被要求更改他们连接的端点。  
应采取哪一组额外的步骤以满足这些要求？","为 HTTPS 在端口 443 创建一个额外的 ALB 监听器。  
将默认操作设置为将所有流量转发到目标组。  
指定为 www.example.com 创建的 ACM 证书作为默认的 SSL 证书。","为 HTTPS 在端口 443 创建一个额外的 ALB 监听器。  
将默认操作设置为将所有流量转发到目标组。  
指定为 www.example.com 创建的 ACM 证书作为默认的 SSL 证书。  
删除端口 80 上的原始 HTTP 监听器。","修改 ALB 默认规则 用于 HTTP 端口 80 监听器。  
在 监听器 中 创建 一条 规则 以 转发 所有 流量 给 主机 www example.com 到 目标组。  
指定 ACM 证书 那个 为 创建 用于 www.example.com 作为 默认 SSL 证书。",修改 ALB 默认规则 用于 HTTP 端口 80 监听器 到 重定向 到 HTTPS 在 端口 443。 创建 一个 额外的 HTTPS 监听器 在 端口 443。 设置 默认 操作为 转发 所有 流量 到 目标组。 指定 ACM 证书 那个 被 创建 用于 www example.com 作为 默认 SSL 证书。,nan,nan,"一家公司拥有一个现有的公共网页应用程序用于 www.example.com。  
The Application Load Balancer (ALB) 被配置有一个单一的 HTTP 80 监听器。  
一名 SysOps 管理员必须确保所有对 www.example.com 的网页请求在客户端和 ALB 之间都是加密的。  
SysOps 管理员已经请求并验证了一个用于 www.example.com 的公共证书在 AWS Certificate Manager (ACM) 中。  
应用程序的现有用户不必被要求更改他们连接的端点。  
应采取哪一组额外的步骤以满足这些要求？"
359,"A company runs its entire suite of applications on Amazon EC2 instances. The company plans to move the applications to containers and AWS Fargate. Within 6 months, the company plans to retire its EC2 instances and use only Fargate. The company has been able to estimate its future Fargate costs.  A SysOps administrator needs to choose a purchasing option to help the company minimize costs. The SysOps administrator must maximize any discounts that are available and must ensure that there are no unused reservations.  Which purchasing option will meet these requirements?",B,Compute Savings Plans for 1 year with the No Upfront payment option,Compute Savings Plans for 1 year with the Partial Upfront payment option,EC2 Instance Savings Plans for 1 year with the All Upfront payment option,EC2 Reserved Instances for 1 year with the Partial Upfront payment option,,,"一家公司在 Amazon EC2 实例上运行其全部应用程序套件。  
The company plans to move the applications to containers and AWS Fargate.  
在 6 个月内，这家公司计划退役其 EC2 实例并仅使用 Fargate。  
The company has been able to estimate its future Fargate costs.  
一名 SysOps 管理员需要选择一种购买选项，以帮助公司最小化成本。  
The SysOps administrator must maximize any discounts that are available and must ensure that there are no unused reservations.  
哪种购买选项将满足这些要求？",Compute Savings Plans 用于 1 年 与 无预付费 选项,Compute Savings Plans 用于 1 年 与 部分预付 付款 选项,EC2 实例节省计划 for 1 年 with the All Upfront 付款选项,EC2 Reserved Instances 用于 1 年 与 部分预付费 付款 选项,nan,nan,"一家公司在 Amazon EC2 实例上运行其全部应用程序套件。  
The company plans to move the applications to containers and AWS Fargate.  
在 6 个月内，这家公司计划退役其 EC2 实例并仅使用 Fargate。  
The company has been able to estimate its future Fargate costs.  
一名 SysOps 管理员需要选择一种购买选项，以帮助公司最小化成本。  
The SysOps administrator must maximize any discounts that are available and must ensure that there are no unused reservations.  
哪种购买选项将满足这些要求？"
360,"A manufacturing company uses an Amazon RDS DB instance to store inventory of all stock items. The company maintains several AWS Lambda functions that interact with the database to add, update, and delete items. The Lambda functions use hardcoded credentials to connect to the database.  A SysOps administrator must ensure that the database credentials are never stored in plaintext and that the password is rotated every 30 days.  Which solution will meet these requirements in the MOST operationally efficient manner?",C,Store the database password as an environment variable for each Lambda function. Create a new Lambda function that is named PasswordRotate. Use Amazon EventBridge to schedule the PasswordRotate function every 30 days to change the database password and update the environment variable for each Lambda function.,Use AWS Key Management Service (AWS KMS) to encrypt the database password and to store the encrypted password as an environment variable for each Lambda function. Grant each Lambda function access to the KMS key so that the database password can be decrypted when required. Create a new Lambda function that is named PasswordRotate to change the password every 30 days.,"Use AWS Secrets Manager to store credentials for the database. Create a Secrets Manager secret, and select the database so that Secrets Manager will use a Lambda function to update the database password automatically. Specify an automatic rotation schedule of 30 days. Update each Lambda function to access the database password from Secrets Manager.",Use AWS Systems Manager Parameter Store to create a secure string to store credentials for the database. Create a new Lambda function called PasswordRotate. Use Amazon EventBridge to schedule the PasswordRotate function every 30 days to change the database password and to update the secret within Parameter Store. Update each Lambda function to access the database password from Parameter Store.,,,"一家制造公司使用 Amazon RDS DB 实例来存储所有库存项目的库存。  
The company maintains several AWS Lambda functions that interact with the database to add, update, and delete items.  
该公司维护多个 AWS Lambda 函数，这些函数与数据库交互以添加、更新和删除项目。  
The Lambda functions use hardcoded credentials to connect to the database.  
这些 Lambda 函数使用硬编码的凭证连接到数据库。  
A SysOps administrator must ensure that the database credentials are never stored in plaintext and that the password is rotated every 30 days.  
一名 SysOps 管理员必须确保数据库凭证永远不以明文存储，并且密码每30天轮换一次。  
Which solution will meet these requirements in the MOST operationally efficient manner?  
哪种解决方案将以最具操作效率的方式满足这些要求？",将数据库密码作为环境变量存储在每个 Lambda 函数中。创建一个名为 PasswordRotate 的新 Lambda 函数。使用 Amazon EventBridge 来安排 PasswordRotate 函数每 30 天更改一次数据库密码，并更新每个 Lambda 函数的环境变量。,使用 AWS Key Management Service (AWS KMS) 来加密数据库密码，并将加密后的密码作为环境变量存储在每个 Lambda 函数中。授予每个 Lambda 函数对 KMS 密钥的访问权限，以便在需要时可以解密数据库密码。创建一个名为 PasswordRotate 的新 Lambda 函数，用于每 30 天更改一次密码。,使用 AWS Secrets Manager 来存储数据库的凭证。创建一个 Secrets Manager 密钥，并选择数据库，以便 Secrets Manager 将使用 Lambda 函数自动更新数据库密码。指定一个自动轮换计划为 30 天。更新每个 Lambda 函数，以便从 Secrets Manager 访问数据库密码。,使用 AWS Systems Manager Parameter Store 创建一个安全字符串，用于存储数据库的凭证。创建一个名为 PasswordRotate 的新 Lambda 函数。使用 Amazon EventBridge 来安排 PasswordRotate 函数每 30 天一次，以更改数据库密码并更新 Parameter Store 中的秘密。更新每个 Lambda 函数，以便从 Parameter Store 访问数据库密码。,nan,nan,"一家制造公司使用 Amazon RDS DB 实例来存储所有库存项目的库存。  
The company maintains several AWS Lambda functions that interact with the database to add, update, and delete items.  
该公司维护多个 AWS Lambda 函数，这些函数与数据库交互以添加、更新和删除项目。  
The Lambda functions use hardcoded credentials to connect to the database.  
这些 Lambda 函数使用硬编码的凭证连接到数据库。  
A SysOps administrator must ensure that the database credentials are never stored in plaintext and that the password is rotated every 30 days.  
一名 SysOps 管理员必须确保数据库凭证永远不以明文存储，并且密码每30天轮换一次。  
Which solution will meet these requirements in the MOST operationally efficient manner?  
哪种解决方案将以最具操作效率的方式满足这些要求？"
361,A developer creates a web application that runs on Amazon EC2 instances behind an Application Load Balancer (ALB). The instances are in an Auto Scaling group. The developer reviews the deployment and notices some suspicious traffic to the application. The traffic is malicious and is coming from a single public IP address. A SysOps administrator must block the public IP address.  Which solution will meet this requirement?,D,Create a security group rule to deny all inbound traffic from the suspicious IP address. Associate the security group with the ALB.,Implement Amazon Detective to monitor traffic and to block malicious activity from the internet. Configure Detective to integrate with the ALB.,Implement AWS Resource Access Manager (AWS RAM) to manage traffic rules and to block malicious activity from the internet. Associate AWS RAM with the ALB.,Add the malicious IP address to an IP set in AWS WAF. Create a web ACL. Include an IP set rule with the action set to BLOCK. Associate the web ACL with the ALB.,,,"一位开发人员创建了一个运行在 Amazon EC2 实例上的 web 应用程序，该应用程序位于一个 Application Load Balancer (ALB) 后面。  
这些实例位于一个 Auto Scaling 组中。  
开发人员审查部署并注意到一些可疑的流量到应用程序。  
这些流量是恶意的，并且来自一个单一的公共 IP 地址。  
一位 SysOps 管理员必须阻止这个公共 IP 地址。  
哪种解决方案可以满足这个需求？",创建 一个 安全组 规则 以 拒绝 所有 入站 流量 从 可疑 IP 地址。 将 安全组 与 ALB 关联。,"实现 Amazon Detective 以监控流量并阻止来自互联网的恶意活动。  
配置 Detective 以与 ALB 集成。",实现 AWS Resource Access Manager (AWS RAM) 以管理流量规则并阻止来自互联网的恶意活动。将 AWS RAM 与 ALB 关联。,将恶意 IP 地址添加到 AWS WAF 中的 IP set。 创建一个 web ACL。 包含一个 IP set 规则，操作设置为 BLOCK。 将 web ACL 与 ALB 关联。,nan,nan,"一位开发人员创建了一个运行在 Amazon EC2 实例上的 web 应用程序，该应用程序位于一个 Application Load Balancer (ALB) 后面。  
这些实例位于一个 Auto Scaling 组中。  
开发人员审查部署并注意到一些可疑的流量到应用程序。  
这些流量是恶意的，并且来自一个单一的公共 IP 地址。  
一位 SysOps 管理员必须阻止这个公共 IP 地址。  
哪种解决方案可以满足这个需求？"
362,A SysOps administrator is creating resources from an AWS. CloudFbrmation template that defines an Auto Scaling group of Amazon EC2 instances. The Auto Scaling group launch template provisions each EC2 instance by using a user data script. The creation of the Auto Scaling group resource is failing because of an error. The wait condition is not receiving the required number of signals.  How should the SysOps administrator resolve this error?,A,Run cfn-signal at the completion of the user data script.,Modify the EC2 instances' security group to allow outgoing traffic on port 443.,Reduce the Auto Scaling group's DesiredCapacity value in the CloudFormation template.,Set the AssociatePublicIpAddress property to True in the Auto Scaling group launch template.,,,"一名 SysOps 管理员正在从一个 AWS CloudFormation 模板创建资源，该模板定义了一个 Amazon EC2 实例的 Auto Scaling 组。  
Auto Scaling 组启动模板通过使用用户数据脚本配置每个 EC2 实例。  
Auto Scaling 组资源的创建由于一个错误而失败。  
等待条件没有接收到所需数量的信号。  
SysOps 管理员应如何解决此错误？",在用户数据脚本完成时运行 cfn-signal。,修改 EC2 实例的 security group 以允许端口 443 的出站流量。,在 CloudFormation 模板中，减少 Auto Scaling 组的 DesiredCapacity 值。,在 Auto Scaling 组启动模板中，将 AssociatePublicIpAddress 属性设置为 True。,nan,nan,"一名 SysOps 管理员正在从一个 AWS CloudFormation 模板创建资源，该模板定义了一个 Amazon EC2 实例的 Auto Scaling 组。  
Auto Scaling 组启动模板通过使用用户数据脚本配置每个 EC2 实例。  
Auto Scaling 组资源的创建由于一个错误而失败。  
等待条件没有接收到所需数量的信号。  
SysOps 管理员应如何解决此错误？"
363,"A company is trying to connect two applications. One application runs in an on-premises data center that has a hostname of host1.onprem private. The other application runs on an Amazon EC2 instance that has a hostname of host1.awscloud private. An AWS Site-to-Site VPN connection is in place between the on-premises network and AWS.  The application that runs in the data center tries to connect to the application that runs on the EC2 instance, but DNS resolution fails. A SysOps administrator must implement DNS resolution between on-premises and AWS resources.  Which solution allows the on-premises application to resolve the EC2 instance hostname?",B,Set up an Amazon Route 53 inbound resolver endpoint with a forwarding rule for the onprem.private hosted zone. Associate the resolver with the VPC of the EC2 instance. Configure the on-premises DNS resolver to forward onprem.private DNS queries to the inbound resolver endpoint.,Set up an Amazon Route 53 inbound resolver endpoint. Associate the resolver with the VPC of the EC2 instance. Configure the on-premises DNS resolver to forward awscloud.private DNS queries to the inbound resolver endpoint.,Set up an Amazon Route 53 outbound resolver endpoint with a forwarding rule for the onprem.private hosted zone. Associate the resolver with the AWS Region of the EC2 instance. Configure the on-premises DNS resolver to forward onprem.private DNS queries to the outbound resolver endpoint.,Set up an Amazon Route 53 outbound resolver endpoint. Associate the resolver with the AWS Region of the EC2 instance. Configure the on-premises DNS resolver to forward awscloud.private DNS queries to the outbound resolver endpoint.,,,"一家公司正在尝试连接两个应用程序。  
One application runs in an on-premises data center that has a hostname of host1.onprem private.  
另一应用程序在一个 Amazon EC2 实例上运行，该实例的主机名为 host1.awscloud private。  
An AWS Site-to-Site VPN connection is in place between the on-premises network and AWS.  
在本地网络和 AWS 之间已建立 AWS Site-to-Site VPN 连接。  
The application that runs in the data center tries to connect to the application that runs on the EC2 instance, but DNS resolution fails.  
在数据中心运行的应用程序试图连接在 EC2 实例上运行的应用程序，但 DNS 解析失败。  
A SysOps administrator must implement DNS resolution between on-premises and AWS resources.  
一名 SysOps 管理员必须实现本地和 AWS 资源之间的 DNS 解析。  
Which solution allows the on-premises application to resolve the EC2 instance hostname?  
哪种解决方案允许本地应用程序解析 EC2 实例的主机名？",建立一个 Amazon Route 53 入站解析器端点，带有一个转发规则，用于 onprem.private 托管区域。将解析器与 EC2 实例的 VPC 关联。配置本地 DNS 解析器，将 onprem.private DNS 查询转发到入站解析器端点。,设置一个 Amazon Route 53 inbound resolver endpoint。将 resolver 与 EC2 实例的 VPC 关联。配置本地 DNS resolver 以将 awscloud.private DNS 查询转发到 inbound resolver endpoint。,建立一个 Amazon Route 53 出站解析器端点，具有用于 onprem.private 托管区域的转发规则。将解析器与 EC2 实例所在的 AWS 区域关联。配置本地 DNS 解析器，将 onprem.private DNS 查询转发到出站解析器端点。,设置一个 Amazon Route 53 outbound resolver endpoint。将 resolver 与 EC2 实例所在的 AWS Region 关联。配置本地 DNS resolver，将 awscloud.private DNS 查询转发到 outbound resolver endpoint。,nan,nan,"一家公司正在尝试连接两个应用程序。  
One application runs in an on-premises data center that has a hostname of host1.onprem private.  
另一应用程序在一个 Amazon EC2 实例上运行，该实例的主机名为 host1.awscloud private。  
An AWS Site-to-Site VPN connection is in place between the on-premises network and AWS.  
在本地网络和 AWS 之间已建立 AWS Site-to-Site VPN 连接。  
The application that runs in the data center tries to connect to the application that runs on the EC2 instance, but DNS resolution fails.  
在数据中心运行的应用程序试图连接在 EC2 实例上运行的应用程序，但 DNS 解析失败。  
A SysOps administrator must implement DNS resolution between on-premises and AWS resources.  
一名 SysOps 管理员必须实现本地和 AWS 资源之间的 DNS 解析。  
Which solution allows the on-premises application to resolve the EC2 instance hostname?  
哪种解决方案允许本地应用程序解析 EC2 实例的主机名？"
364,A company needs to deploy instances of an application and associated infrastructure to multiple AWS Regions. The company wants to use a single AWS CloudFormation template to achieve this goal. The company uses AWS Organizations and wants to administer and run this template from a central administration account.  What should a SysOps administrator do to meet these requirements?,D,Create a CloudFormation template that is stored in Amazon S3. Configure Cross-Region Replication (CRR) on the S3 bucket. Reference the required accounts and remote Regions in the input template parameters.,"In the central administration account, create a CloudFormation primary template that loads CloudFormation nested stacks from Amazon S3 buckets in the target Regions.",Create CloudFormation nested stacks by using a primary template in the central administration account. Configure the required accounts and Regions for deployment of the nested stacks.,Create a CloudFormation stack set that includes service-managed permissions. Deploy the stack set into the required accounts and Regions from the central administration account.,,,"一家公司需要在多个 AWS Regions 部署应用程序实例和相关基础设施。  
The company wants to use a single AWS CloudFormation template to achieve this goal.  
这家公司使用 AWS Organizations 并希望从一个中央管理账户管理和运行这个模板。  
What should a SysOps administrator do to meet these requirements?",创建一个 CloudFormation 模板，该模板存储在 Amazon S3 中。配置在 S3 bucket 上的 Cross-Region Replication (CRR)。在输入模板参数中引用所需的账户和远程 Regions。,在中央管理账户中，创建一个 CloudFormation 主要模板，该模板从目标区域中的 Amazon S3 存储桶加载 CloudFormation 嵌套堆栈。,使用中央管理账户中的主模板创建 CloudFormation 嵌套堆栈。配置用于嵌套堆栈部署的所需账户和 Regions。,"创建一个 CloudFormation 堆栈集，包含 service-managed permissions。  
部署该堆栈集到所需的账户和 Regions，从中央管理账户。",nan,nan,"一家公司需要在多个 AWS Regions 部署应用程序实例和相关基础设施。  
The company wants to use a single AWS CloudFormation template to achieve this goal.  
这家公司使用 AWS Organizations 并希望从一个中央管理账户管理和运行这个模板。  
What should a SysOps administrator do to meet these requirements?"
